run,reference,tagged,comment
R1567RT2,PEPFAR_RT2_HXB2,no
R1613RT2,PEPFAR_RT2_HXB2,no
R1622RT2,PEPFAR_RT2_HXB2,no
R1635RT2,PEPFAR_RT2_HXB2,no
R1637RT2,PEPFAR_RT2_HXB2,no
R1644RT2,PEPFAR_RT2_HXB2,no
R1660RT2,PEPFAR_RT2_HXB2,no
R1661RT2,PEPFAR_RT2_HXB2,no
R1662RT2,PEPFAR_RT2_HXB2,no
R2011RT2,PEPFAR_RT2_HXB2,no
R2019RT2,PEPFAR_RT2_HXB2,no
R2090RT2,PEPFAR_RT2_HXB2,no
R3150RT2,PEPFAR_RT2_HXB2,no
pKS-pol-ill-RT2_run4,PEPFAR_RT2_HXB2,no
pKS-pol-ill-RT1_run8,PEPFAR_RT2_HXB2,no
pKS-pol-ill-RT2_run8,PEPFAR_RT2_HXB2,no
R3159RT1,PEPFAR_RT1_HXB2,yes,
R3159RT2,PEPFAR_RT2_HXB2,yes,
R1270RT1,PEPFAR_RT1_HXB2,yes,
R1490RT1,PEPFAR_RT1_HXB2,yes,
R1512RT1,PEPFAR_RT1_HXB2,yes,
R1524RT1,PEPFAR_RT1_HXB2,yes,
R1556RT1,PEPFAR_RT1_HXB2,yes,
R1573RT1,PEPFAR_RT1_HXB2,yes,
R1574RT1,PEPFAR_RT1_HXB2,yes,
R1575RT1,PEPFAR_RT1_HXB2,yes,
R1589RT1,PEPFAR_RT1_HXB2,yes,
R1610RT1,PEPFAR_RT1_HXB2,yes,
R1642RT1,PEPFAR_RT1_HXB2,yes,
R1657RT1,PEPFAR_RT1_HXB2,yes,
R1663RT1,PEPFAR_RT1_HXB2,yes,
R1664RT1,PEPFAR_RT1_HXB2,yes,
R1672RT1,PEPFAR_RT1_HXB2,yes,
R2062RT1,PEPFAR_RT1_HXB2,yes,
R3159RT1,PEPFAR_RT1_HXB2,yes,
R3169RT1,PEPFAR_RT1_HXB2,yes,
R1270RT2,PEPFAR_RT2_HXB2,yes,
R1490RT2,PEPFAR_RT2_HXB2,yes,
R1512RT2,PEPFAR_RT2_HXB2,yes,
R1524RT2,PEPFAR_RT2_HXB2,yes,
R1556RT2,PEPFAR_RT2_HXB2,yes,
R1573RT2,PEPFAR_RT2_HXB2,yes,
R1574RT2,PEPFAR_RT2_HXB2,yes,
R1575RT2,PEPFAR_RT2_HXB2,yes,
R1589RT2,PEPFAR_RT2_HXB2,yes,
R1610RT2,PEPFAR_RT2_HXB2,yes,
R1642RT2,PEPFAR_RT2_HXB2,yes,
R1657RT2,PEPFAR_RT2_HXB2,yes,
R1663RT2,PEPFAR_RT2_HXB2,yes,
R1664RT2,PEPFAR_RT2_HXB2,yes,
R1672RT2,PEPFAR_RT2_HXB2,yes,
R2062RT2,PEPFAR_RT2_HXB2,yes,
R3159RT2,PEPFAR_RT2_HXB2,yes,
R3169RT2,PEPFAR_RT2_HXB2,yes,
R1011RT1,PEPFAR_RT1_HXB2,yes,
R1023RT1,PEPFAR_RT1_HXB2,yes,
R1045RT1,PEPFAR_RT1_HXB2,yes,
R1050RT1,PEPFAR_RT1_HXB2,yes,
R1057RT1,PEPFAR_RT1_HXB2,yes,
R1063RT1,PEPFAR_RT1_HXB2,yes,
R1072RT1,PEPFAR_RT1_HXB2,yes,
R1090RT1,PEPFAR_RT1_HXB2,yes,
R1100RT1,PEPFAR_RT1_HXB2,yes,
R1102RT1,PEPFAR_RT1_HXB2,yes,
R1114RT1,PEPFAR_RT1_HXB2,yes,
R1117RT1,PEPFAR_RT1_HXB2,yes,
R1136RT1,PEPFAR_RT1_HXB2,yes,
R1139RT1,PEPFAR_RT1_HXB2,yes,
R1145RT1,PEPFAR_RT1_HXB2,yes,
R1151RT1,PEPFAR_RT1_HXB2,yes,
R1156RT1,PEPFAR_RT1_HXB2,yes,
R1167RT1,PEPFAR_RT1_HXB2,yes,
R1174RT1,PEPFAR_RT1_HXB2,yes,
R1199RT1,PEPFAR_RT1_HXB2,yes,
R1207RT1,PEPFAR_RT1_HXB2,yes,
R1214RT1,PEPFAR_RT1_HXB2,yes,
R1234RT1,PEPFAR_RT1_HXB2,yes,
R1258RT1,PEPFAR_RT1_HXB2,yes,
R1263RT1,PEPFAR_RT1_HXB2,yes,
R1282RT1,PEPFAR_RT1_HXB2,yes,
R1293RT1,PEPFAR_RT1_HXB2,yes,
R1312RT1,PEPFAR_RT1_HXB2,yes,
R1338RT1,PEPFAR_RT1_HXB2,yes,
R1355RT1,PEPFAR_RT1_HXB2,yes,
R1366RT1,PEPFAR_RT1_HXB2,yes,
R1375RT1,PEPFAR_RT1_HXB2,yes,
R1408RT1,PEPFAR_RT1_HXB2,yes,
R1417RT1,PEPFAR_RT1_HXB2,yes,
R2001RT1,PEPFAR_RT1_HXB2,yes,
R3071RT1,PEPFAR_RT1_HXB2,yes,
R3150RT1,PEPFAR_RT1_HXB2,yes,
R3160RT1,PEPFAR_RT1_HXB2,yes,
R3161RT1,PEPFAR_RT1_HXB2,yes,
R3197RT1,PEPFAR_RT1_HXB2,yes,
R1002RT1,PEPFAR_RT1_HXB2,yes,
R1075RT1,PEPFAR_RT1_HXB2,yes,
R1094RT1,PEPFAR_RT1_HXB2,yes,
R1228RT1,PEPFAR_RT1_HXB2,yes,
R1322RT1,PEPFAR_RT1_HXB2,yes,
R3089RT1,PEPFAR_RT1_HXB2,yes,
R1011RT2,PEPFAR_RT2_HXB2,yes,
R1023RT2,PEPFAR_RT2_HXB2,yes,
R1045RT2,PEPFAR_RT2_HXB2,yes,
R1050RT2,PEPFAR_RT2_HXB2,yes,
R1057RT2,PEPFAR_RT2_HXB2,yes,
R1063RT2,PEPFAR_RT2_HXB2,yes,
R1072RT2,PEPFAR_RT2_HXB2,yes,
R1090RT2,PEPFAR_RT2_HXB2,yes,
R1100RT2,PEPFAR_RT2_HXB2,yes,
R1102RT2,PEPFAR_RT2_HXB2,yes,
R1114RT2,PEPFAR_RT2_HXB2,yes,
R1117RT2,PEPFAR_RT2_HXB2,yes,
R1136RT2,PEPFAR_RT2_HXB2,yes,
R1139RT2,PEPFAR_RT2_HXB2,yes,
R1145RT2,PEPFAR_RT2_HXB2,yes,
R1151RT2,PEPFAR_RT2_HXB2,yes,
R1156RT2,PEPFAR_RT2_HXB2,yes,
R1167RT2,PEPFAR_RT2_HXB2,yes,
R1174RT2,PEPFAR_RT2_HXB2,yes,
R1199RT2,PEPFAR_RT2_HXB2,yes,
R1207RT2,PEPFAR_RT2_HXB2,yes,
R1214RT2,PEPFAR_RT2_HXB2,yes,
R1234RT2,PEPFAR_RT2_HXB2,yes,
R1258RT2,PEPFAR_RT2_HXB2,yes,
R1263RT2,PEPFAR_RT2_HXB2,yes,
R1282RT2,PEPFAR_RT2_HXB2,yes,
R1293RT2,PEPFAR_RT2_HXB2,yes,
R1312RT2,PEPFAR_RT2_HXB2,yes,
R1338RT2,PEPFAR_RT2_HXB2,yes,
R1355RT2,PEPFAR_RT2_HXB2,yes,
R1366RT2,PEPFAR_RT2_HXB2,yes,
R1375RT2,PEPFAR_RT2_HXB2,yes,
R1408RT2,PEPFAR_RT2_HXB2,yes,
R1417RT2,PEPFAR_RT2_HXB2,yes,
R2001RT2,PEPFAR_RT2_HXB2,yes,
R3071RT2,PEPFAR_RT2_HXB2,yes,
R3150RT2,PEPFAR_RT2_HXB2,yes,
R3160RT2,PEPFAR_RT2_HXB2,yes,
R3161RT2,PEPFAR_RT2_HXB2,yes,
R3197RT2,PEPFAR_RT2_HXB2,yes,
R1002RT2,PEPFAR_RT2_HXB2,yes,
R1075RT2,PEPFAR_RT2_HXB2,yes,
R1094RT2,PEPFAR_RT2_HXB2,yes,
R1228RT2,PEPFAR_RT2_HXB2,yes,
R1322RT2,PEPFAR_RT2_HXB2,yes,
R3089RT2,PEPFAR_RT2_HXB2,yes,
R1003RT1,PEPFAR_RT1_HXB2,yes,
R1012RT1,PEPFAR_RT1_HXB2,yes,
R1025RT1,PEPFAR_RT1_HXB2,yes,
R1031RT1,PEPFAR_RT1_HXB2,yes,
R1036RT1,PEPFAR_RT1_HXB2,yes,
R1037RT1,PEPFAR_RT1_HXB2,yes,
R1047RT1,PEPFAR_RT1_HXB2,yes,
R1056RT1,PEPFAR_RT1_HXB2,yes,
R1064RT1,PEPFAR_RT1_HXB2,yes,
R1082RT1,PEPFAR_RT1_HXB2,yes,
R1086RT1,PEPFAR_RT1_HXB2,yes,
R1108RT1,PEPFAR_RT1_HXB2,yes,
R1116RT1,PEPFAR_RT1_HXB2,yes,
R1152RT1,PEPFAR_RT1_HXB2,yes,
R1158RT1,PEPFAR_RT1_HXB2,yes,
R1163RT1,PEPFAR_RT1_HXB2,yes,
R1168RT1,PEPFAR_RT1_HXB2,yes,
R1208RT1,PEPFAR_RT1_HXB2,yes,
R1212RT1,PEPFAR_RT1_HXB2,yes,
R1224RT1,PEPFAR_RT1_HXB2,yes,
R1227RT1,PEPFAR_RT1_HXB2,yes,
R1243RT1,PEPFAR_RT1_HXB2,yes,
R1252RT1,PEPFAR_RT1_HXB2,yes,
R1255RT1,PEPFAR_RT1_HXB2,yes,
R1256RT1,PEPFAR_RT1_HXB2,yes,
R1273RT1,PEPFAR_RT1_HXB2,yes,
R1286RT1,PEPFAR_RT1_HXB2,yes,
R1290RT1,PEPFAR_RT1_HXB2,yes,
R1295RT1,PEPFAR_RT1_HXB2,yes,
R1296RT1,PEPFAR_RT1_HXB2,yes,
R1321RT1,PEPFAR_RT1_HXB2,yes,
R1335RT1,PEPFAR_RT1_HXB2,yes,
R1339RT1,PEPFAR_RT1_HXB2,yes,
R1343RT1,PEPFAR_RT1_HXB2,yes,
R1348RT1,PEPFAR_RT1_HXB2,yes,
R1351RT1,PEPFAR_RT1_HXB2,yes,
R1363RT1,PEPFAR_RT1_HXB2,yes,
R1379RT1,PEPFAR_RT1_HXB2,yes,
R1381RT1,PEPFAR_RT1_HXB2,yes,
R1391RT1,PEPFAR_RT1_HXB2,yes,
R1397RT1,PEPFAR_RT1_HXB2,yes,
R1401RT1,PEPFAR_RT1_HXB2,yes,
R1445RT1,PEPFAR_RT1_HXB2,yes,
R1477RT1,PEPFAR_RT1_HXB2,yes,
R1489RT1,PEPFAR_RT1_HXB2,yes,
R3085RT1,PEPFAR_RT1_HXB2,yes,
R1003RT2,PEPFAR_RT2_HXB2,yes,
R1012RT2,PEPFAR_RT2_HXB2,yes,
R1025RT2,PEPFAR_RT2_HXB2,yes,
R1031RT2,PEPFAR_RT2_HXB2,yes,
R1036RT2,PEPFAR_RT2_HXB2,yes,
R1037RT2,PEPFAR_RT2_HXB2,yes,
R1047RT2,PEPFAR_RT2_HXB2,yes,
R1056RT2,PEPFAR_RT2_HXB2,yes,
R1064RT2,PEPFAR_RT2_HXB2,yes,
R1082RT2,PEPFAR_RT2_HXB2,yes,
R1086RT2,PEPFAR_RT2_HXB2,yes,
R1108RT2,PEPFAR_RT2_HXB2,yes,
R1116RT2,PEPFAR_RT2_HXB2,yes,
R1152RT2,PEPFAR_RT2_HXB2,yes,
R1158RT2,PEPFAR_RT2_HXB2,yes,
R1163RT2,PEPFAR_RT2_HXB2,yes,
R1168RT2,PEPFAR_RT2_HXB2,yes,
R1208RT2,PEPFAR_RT2_HXB2,yes,
R1212RT2,PEPFAR_RT2_HXB2,yes,
R1224RT2,PEPFAR_RT2_HXB2,yes,
R1227RT2,PEPFAR_RT2_HXB2,yes,
R1243RT2,PEPFAR_RT2_HXB2,yes,
R1252RT2,PEPFAR_RT2_HXB2,yes,
R1255RT2,PEPFAR_RT2_HXB2,yes,
R1256RT2,PEPFAR_RT2_HXB2,yes,
R1273RT2,PEPFAR_RT2_HXB2,yes,
R1286RT2,PEPFAR_RT2_HXB2,yes,
R1290RT2,PEPFAR_RT2_HXB2,yes,
R1295RT2,PEPFAR_RT2_HXB2,yes,
R1296RT2,PEPFAR_RT2_HXB2,yes,
R1321RT2,PEPFAR_RT2_HXB2,yes,
R1335RT2,PEPFAR_RT2_HXB2,yes,
R1339RT2,PEPFAR_RT2_HXB2,yes,
R1343RT2,PEPFAR_RT2_HXB2,yes,
R1348RT2,PEPFAR_RT2_HXB2,yes,
R1351RT2,PEPFAR_RT2_HXB2,yes,
R1363RT2,PEPFAR_RT2_HXB2,yes,
R1379RT2,PEPFAR_RT2_HXB2,yes,
R1381RT2,PEPFAR_RT2_HXB2,yes,
R1391RT2,PEPFAR_RT2_HXB2,yes,
R1397RT2,PEPFAR_RT2_HXB2,yes,
R1401RT2,PEPFAR_RT2_HXB2,yes,
R1445RT2,PEPFAR_RT2_HXB2,yes,
R1477RT2,PEPFAR_RT2_HXB2,yes,
R1489RT2,PEPFAR_RT2_HXB2,yes,
R3085RT2,PEPFAR_RT2_HXB2,yes,
R1370RT1,PEPFAR_RT1_HXB2,yes,
R1371RT1,PEPFAR_RT1_HXB2,yes,
R1373RT1,PEPFAR_RT1_HXB2,yes,
R1396RT1,PEPFAR_RT1_HXB2,yes,
R1403RT1,PEPFAR_RT1_HXB2,yes,
R1412RT1,PEPFAR_RT1_HXB2,yes,
R1430RT1,PEPFAR_RT1_HXB2,yes,
R1434RT1,PEPFAR_RT1_HXB2,yes,
R1443RT1,PEPFAR_RT1_HXB2,yes,
R1447RT1,PEPFAR_RT1_HXB2,yes,
R1467RT1,PEPFAR_RT1_HXB2,yes,
R1468RT1,PEPFAR_RT1_HXB2,yes,
R1470RT1,PEPFAR_RT1_HXB2,yes,
R1499RT1,PEPFAR_RT1_HXB2,yes,
R1522RT1,PEPFAR_RT1_HXB2,yes,
R1533RT1,PEPFAR_RT1_HXB2,yes,
R1536RT1,PEPFAR_RT1_HXB2,yes,
R1542RT1,PEPFAR_RT1_HXB2,yes,
R1543RT1,PEPFAR_RT1_HXB2,yes,
R1550RT1,PEPFAR_RT1_HXB2,yes,
R1563RT1,PEPFAR_RT1_HXB2,yes,
R1566RT1,PEPFAR_RT1_HXB2,yes,
R1570RT1,PEPFAR_RT1_HXB2,yes,
R1572RT1,PEPFAR_RT1_HXB2,yes,
R1576RT1,PEPFAR_RT1_HXB2,yes,
R1580RT1,PEPFAR_RT1_HXB2,yes,
R1584RT1,PEPFAR_RT1_HXB2,yes,
R1595RT1,PEPFAR_RT1_HXB2,yes,
R1598RT1,PEPFAR_RT1_HXB2,yes,
R1600RT1,PEPFAR_RT1_HXB2,yes,
R1601RT1,PEPFAR_RT1_HXB2,yes,
R1609RT1,PEPFAR_RT1_HXB2,yes,
R1611RT1,PEPFAR_RT1_HXB2,yes,
R1624RT1,PEPFAR_RT1_HXB2,yes,
R1633RT1,PEPFAR_RT1_HXB2,yes,
R1634RT1,PEPFAR_RT1_HXB2,yes,
R1647RT1,PEPFAR_RT1_HXB2,yes,
R1650RT1,PEPFAR_RT1_HXB2,yes,
R2044RT1,PEPFAR_RT1_HXB2,yes,
R3090RT1,PEPFAR_RT1_HXB2,yes,
R3171RT1,PEPFAR_RT1_HXB2,yes,
R3177RT1,PEPFAR_RT1_HXB2,yes,
R3186RT1,PEPFAR_RT1_HXB2,yes,
R3234RT1,PEPFAR_RT1_HXB2,yes,
R1370RT2,PEPFAR_RT2_HXB2,yes,
R1371RT2,PEPFAR_RT2_HXB2,yes,
R1373RT2,PEPFAR_RT2_HXB2,yes,
R1396RT2,PEPFAR_RT2_HXB2,yes,
R1403RT2,PEPFAR_RT2_HXB2,yes,
R1412RT2,PEPFAR_RT2_HXB2,yes,
R1430RT2,PEPFAR_RT2_HXB2,yes,
R1434RT2,PEPFAR_RT2_HXB2,yes,
R1443RT2,PEPFAR_RT2_HXB2,yes,
R1447RT2,PEPFAR_RT2_HXB2,yes,
R1467RT2,PEPFAR_RT2_HXB2,yes,
R1468RT2,PEPFAR_RT2_HXB2,yes,
R1470RT2,PEPFAR_RT2_HXB2,yes,
R1499RT2,PEPFAR_RT2_HXB2,yes,
R1522RT2,PEPFAR_RT2_HXB2,yes,
R1533RT2,PEPFAR_RT2_HXB2,yes,
R1536RT2,PEPFAR_RT2_HXB2,yes,
R1542RT2,PEPFAR_RT2_HXB2,yes,
R1543RT2,PEPFAR_RT2_HXB2,yes,
R1550RT2,PEPFAR_RT2_HXB2,yes,
R1563RT2,PEPFAR_RT2_HXB2,yes,
R1566RT2,PEPFAR_RT2_HXB2,yes,
R1570RT2,PEPFAR_RT2_HXB2,yes,
R1572RT2,PEPFAR_RT2_HXB2,yes,
R1576RT2,PEPFAR_RT2_HXB2,yes,
R1580RT2,PEPFAR_RT2_HXB2,yes,
R1584RT2,PEPFAR_RT2_HXB2,yes,
R1595RT2,PEPFAR_RT2_HXB2,yes,
R1598RT2,PEPFAR_RT2_HXB2,yes,
R1600RT2,PEPFAR_RT2_HXB2,yes,
R1601RT2,PEPFAR_RT2_HXB2,yes,
R1609RT2,PEPFAR_RT2_HXB2,yes,
R1611RT2,PEPFAR_RT2_HXB2,yes,
R1624RT2,PEPFAR_RT2_HXB2,yes,
R1633RT2,PEPFAR_RT2_HXB2,yes,
R1634RT2,PEPFAR_RT2_HXB2,yes,
R1647RT2,PEPFAR_RT2_HXB2,yes,
R1650RT2,PEPFAR_RT2_HXB2,yes,
R2044RT2,PEPFAR_RT2_HXB2,yes,
R3090RT2,PEPFAR_RT2_HXB2,yes,
R3171RT2,PEPFAR_RT2_HXB2,yes,
R3177RT2,PEPFAR_RT2_HXB2,yes,
R3186RT2,PEPFAR_RT2_HXB2,yes,
R3234RT2,PEPFAR_RT2_HXB2,yes,
pKS-pol-ill-RT1_run6,PEPFAR_RT1_HXB2,no
pKS-pol-ill-RT2_run6,PEPFAR_RT2_HXB2,no
PIC87014RT1,PEPFAR_RT1_HXB2,no,
PIC64236RT1,PEPFAR_RT1_HXB2,no,
PIC71101RT1,PEPFAR_RT1_HXB2,no,
PIC78882RT1,PEPFAR_RT1_HXB2,no,
PIC34971RT1,PEPFAR_RT1_HXB2,no,
PIC28477RT1,PEPFAR_RT1_HXB2,no
PIC16767RT1,PEPFAR_RT1_HXB2,no,
PIC13600RT1,PEPFAR_RT1_HXB2,no,
PIC23898RT1,PEPFAR_RT1_HXB2,no,
PIC94960RT1,PEPFAR_RT1_HXB2,no,
PIC30756RT1,PEPFAR_RT1_HXB2,no,
